06629745000109,49324221000104	718423,725294,742196,749314,755631,771795,772799,773340,779790,815049,815871,831441,869697,874421,886122,888860,890465,909849,910065,918385,922123,934942,953004,963388,975952,985644	7113675490	2	26	7113675490
12420164000157,12420164000319	876321,876330,876370,948555,952879,953158,953320	2978047470	2	7	2978047470
09408863000177,12576098000109	765240,777600,777635,777672,778113,793941,834256,923420	2593075135	2	8	2593075135
05075964000112,40175705000164	952113,952862,953191,953425	2588998470	2	4	2588998470
03173334000155,13431621000171	786940,786988,787058	2339171684	2	3	2339171684
00874929000140,16366888000110	155619,720169,720209,720249,730410,731253,731301,745486,745906,755528,755529,761002,761030,762537,762686,784399,789880,790963,790983,790984,791108,793081,800966,801377,801550,808229,809067,812705,819817,825819,825846,826664,835955,844226,844267,860335,860519,867614,867681,874088,874100,877547,882717,905417,926172,932361,932364,932365,932399,932447,933410,964489,969380,981661,983093	887323647	2	55	887323647
67729178000149,67729178000491	897666	797249315	2	1	797249315
15799068000150,23681312000103	799077	748748886	2	1	748748886
26921908000121,26921908000202	761702,842644,856811,901950,902019,952387	227342173	2	6	227342173
07483513000140,71094205000121	764276,764295,764315,961181,961202,961249	225608920	2	6	225608920
01982481000140,18440367000191	727583,758003,848654,850911,902030,956487	156786517	2	6	156786517
03960712000140,09130024000130	786050,786191,786252	134939426	2	3	134939426
10578941000160,19583558000175	891422	102796022	2	1	102796022
43217280000105,62396296000169	814804	94235234	2	1	94235234
24296646000126,24419569000154	981916	79691751	2	1	79691751
16502551000193,25898180000100	774105	21423214	2	1	21423214
26120618000189,26120618000260	895278	20257750	2	1	20257750
02460736000178,18269125000187	736977,785155,796949,796958,830375,831170,854314,952602,959498	18615375	2	9	18615375
10251397000148,42932715000122	839334,839335,839336,839337,839338,839339,839340,839341,839342,839343	13427380	2	10	13427380
06073848000127,09053134000226	766047,766048,766269,766327,842684,947613,952168,952432,952538,984434,984924	13090666	2	11	13090666
07643548000107,09483720000120	827772,827838,827894,827935	12654429	2	4	12654429
04307650000135,06081203000136	732275,774071,947613	10708271	2	3	10708271
06073848000127#0,09053134000226#0,19936557000167#0	947613#0	10544791	3	1	3514930
20626417000171,21393507000122	754104	10310188	2	1	10310188
00676679000133,07562743000102	774209	9946481	2	1	9946481
02540779000163,02540779000325	810409	9936812	2	1	9936812
04027894000164,04027894000326	762204,944923,948342	9000629	2	3	9000629
02203356000158,12929043000135	749751,749817,841247,946629,947535,947801,948531,948777	8260247	2	8	8260247
11430465000107,20766316000104	969665,969773,969841	7981900	2	3	7981900
08830900000178,14087361000121	875660	7753785	2	1	7753785
05835916000185,71208516000174	807714,839533,839534,839535,839536,839537,839538,839539,839540,839541,839542,839543,839544,839556,840062,840063,840064,840065,840066,840067,840068,840069,840070,840071,840072,840073,840074,859286,943621,944076,944658,948259,973611	7732669	2	33	7732669
02701263000234,26341602000104	858034,858276	7236480	2	2	7236480
10495228000153#0,10576690000185#0,17988161000138#0	814166#0	6956298	3	1	2318766
10769482000100,22873613000176	814341	6909585	2	1	6909585
08546092000111,10568854000122	751489,751635,751725,751813	6810669	2	4	6810669
00491870000100,03102926000186	839028,839068	6781683	2	2	6781683
04600294000143#0,04851699000154#0,22719843000185#0	754722#0,754773#0,941155#0	6585523	3	3	2195174
21804120000383,21804120000545	732406,732547,732572,732700,732792,732845,962013	6568550	2	7	6568550
01133225000189#0,10600312000190#2,21013054000161#2	730567#2,939896#2	6385762	3	2	4789321
05334499000197,10294104000100	898101,898201,980745	6334400	2	3	6334400
02272500000108#0,04193097000157#0,10322079000120#0	721990#0	6333588	3	1	2111196
00443322000105,18114595000171	772656,772740,772815	6167615	2	3	6167615
19817766000191,19817766000353	938562,938949,939035	6113707	2	3	6113707
01133225000189,10600312000190	730567,770407,770574,939896,966051	6095150	2	5	6095150
17719444000184,19478320000180	739678,739807,739968,740118	6084265	2	4	6084265
21458610000103,81706251000198	761863,863640,981178	6019091	2	3	6019091
04424758000108,05516628000168	752109,752160,752192,752218	5781568	2	4	5781568
07289544000164,17470499000101	863963	5609466	2	1	5609466
04600294000143#0,04851699000154#0,22719843000185#0,23953466000107#0	754773#0	5524464	4	1	920744
03327733000123,19324490000100	815350,815391,815466	5425636	2	3	5425636
05464491000145,09308652000162	721990,722097,722160,722164	5325130	2	4	5325130
05639764000145,18052472000153	750513,911177,911212	5296657	2	3	5296657
03378970000113#0,07394231000176#0,16505190000210#0,21817234000104#0	985568#0	5286600	4	1	881100
21752738000185,21752738000428	848668,848702,848751,848792	5196036	2	4	5196036
01466091002161,01466091002323	851178	5134750	2	1	5134750
02608774000125,04664638000188	916641,916680	4927278	2	2	4927278
03744904000110,08235663000105	940861,941048	4925471	2	2	4925471
01509731000120#0,07833214000198#0,12980050000161#0,25650482000156#0	809665#0	4871950	4	1	811991
12187694000105,12187694000369	786909,786932,786948,786957,786990,787050	4852062	2	6	4852062
10495228000153,10576690000185	814062,814079,814166	4731696	2	3	4731696
06073848000127,19936557000167	947613,981159	4703412	2	2	4703412
01245727000100,01245727000525	719648,719680	4690905	2	2	4690905
05508626000127,20139416000100	865925,866001	4686792	2	2	4686792
09225076000190,12212290000116	869584,869637,869647,869688,869843	4647096	2	5	4647096
02858842000104,19961036000160	719802,797660,821120,828681,851293,978666	4619270	2	6	4619270
18159194000138,18593087000113	841339,841382,841523	4576771	2	3	4576771
17719444000184#0,17719444000346#0,19478320000180#0	740118#0	4554900	3	1	1518300
01929665000309,21483615000196	774966,775026,846057,867297,896092,912008,978832	4404200	2	7	4404200
36325157000134,36325157000215	837325,849407	4382742	2	2	4382742
11165514000113,21789326000110	791453,791488,791529,791574	4363075	2	4	4363075
13668217000116,18210168000197	732717,733716,744857,759770,779159,789090,856969,864405,869463,871717,873162,884428,907687,908820,911547,934608,943659,972652,973508,985641	4273448	2	20	4273448
03873951000163,03873951000244	765119,765171,765250,765311	4262238	2	4	4262238
02736688000106,02736688000289	832471	4240046	2	1	4240046
03065063000114,09380005000161	720345,870018	4234140	2	2	4234140
17766825000203,17766825000629	912125,912282,912369	4232051	2	3	4232051
94516671000153,94516671000234	842588,842589	4141886	2	2	4141886
08740036000113,08740036000202	858012,858065,858192,858295	4076292	2	4	4076292
02277139000102,16975724000190	935806	3985355	2	1	3985355
03378970000113#0,07394231000176#0,21817234000104#0	749191#0,985568#0	3816240	3	2	1272080
38695557000167,66438466000181	798950,798971,799061,799176	3777983	2	4	3777983
17224171000105#0,21543798000198#0,71424246000139#0	774184#0	3723215	3	1	1241071
00577773000135,09380005000161	720414	3687923	2	1	3687923
11675056000162,22403976000148	875264,875267,875282,875297,875334,875390	3631462	2	6	3631462
07483162000177,21280420000149	827677,909104	3582209	2	2	3582209
09370196000180,14174715000175	875626,875794	3521220	2	2	3521220
14099186000192,16579237000109	921594,921638,921682,921725	3489465	2	4	3489465
10510128000159,10510128000230	827509,827554	3478522	2	2	3478522
02089246000107,07369814000147	967610,967659,967801,967802	3478486	2	4	3478486
67729178000149,67729178000220	897402	3476904	2	1	3476904
14230984000101,19376730000110	894549,894620	3459547	2	2	3459547
04193097000157,10322079000120	721990,722035,722082,722109,722170	3447191	2	5	3447191
49475833000106,49475833001250	955903	3434001	2	1	3434001
02041460000193,33000118000179	897490	3390500	2	1	3390500
64373368000188,64373368000269	772745,772835	3372067	2	2	3372067
02814497000298,02814497000700	762204	3314229	2	1	3314229
06105551000104,15040200000145	871571,950765	3289853	2	2	3289853
02904424000106,17658668000123	871689,871759	3154020	2	2	3154020
00751947000134,07100135000178	938536,938920,938997	3150533	2	3	3150533
23647365000108,47003579000100	732392,732554,732766,796791,797013,855765,938095	3091270	2	7	3091270
05304733000133,14451636000164	869232,869255,869268,869422,869433,869494	3088044	2	6	3088044
25834847000283,25834847000364	949640	3016664	2	1	3016664
01133225000189#0,11203475000100#0,21013054000161#0	730567#0	3011160	3	1	1003720
00711356000133,05058703000194	730531,730563,730638	2946750	2	3	2946750
07777720000107#0,48174874000191#0,59016998000165#0	809553#0	2935096	3	1	978365
07220538000150,09043438000121	722883,722979	2901800	2	2	2901800
13258431000102,32289829000142	833621	2869600	2	1	2869600
10726349000169,17880977000143	809319,809439,809553,809665	2869073	2	4	2869073
04851699000154,22719843000185	730332,754722,754773,860497,860542,941155	2847486	2	6	2847486
22575583000111,23353196000101	754352,754370,754398,853765	2835617	2	4	2835617
07485963000171,07485963000252	722474	2808125	2	1	2808125
01799657000123,13150466000115	772982	2806801	2	1	2806801
04762831000151,07374284000125	984417	2780780	2	1	2780780
02143367000190#0,09277251000192#0,09367180000119#0	830636#0	2725074	3	1	908358
01037626000135,11316363000157	759653,759689,759749	2710500	2	3	2710500
04290119000105,10826999000186	752498,752533	2691411	2	2	2691411
09532089000101,21042015000354	798885	2680400	2	1	2680400
02295694000167,02295694000248	720377,720397	2678732	2	2	2678732
07700579000144,22677264000117	721436,798121,822767,922293	2663890	2	4	2663890
05781473000197,41662677000172	751548	2641580	2	1	2641580
07111286000121,21525477000160	804852	2598072	2	1	2598072
03919999000165,41920257000491	731682	2533321	2	1	2533321
03669035000106,13076992000182	836707,836731,836751,836777	2497535	2	4	2497535
06133518000180,20711057000106	862146	2489575	2	1	2489575
17224171000105,71424246000139	736806,737016,774184	2483112	2	3	2483112
02686360000114,07037632000179	758781,758841,758889,758952	2470460	2	4	2470460
10726349000169#0,17880977000143#0,26544608000170#0	809665#0	2435975	3	1	811991
01133225000189#0,10600312000190#2,11203475000100#2	730567#2,770574#2	2398553	3	2	1798914
03250598000165,04632983000130	799099,799222	2386030	2	2	2386030
03791171000174,03791171000255	897771,897822	2359142	2	2	2359142
06280539000128,11395843000150	761403,761448,793243,793279,900409,900467	2327069	2	6	2327069
13083306000109,66487836000170	927739,927784,927789	2289364	2	3	2289364
03522446000174,19803923000100	865593,865624	2271688	2	2	2271688
07516896000105,10495154000155	817580,817640,817707	2269790	2	3	2269790
03390388000172,22787055000126	774947,774968,774990	2256333	2	3	2256333
04600294000143,04851699000154	754722,754773,755494,941155	2236384	2	4	2236384
17350361000160,19803975000186	835019,835053,835079,835122	2201444	2	4	2201444
00836942000104,12579490000292	718648,730130,752976,779165,826647,829984,869705,874083,922942,961252	2194388	2	10	2194388
10495154000155,42822858000181	817707,838953	2186270	2	2	2186270
15135390000184,86405396000172	861199,924704,924733	2153522	2	3	2153522
17939349000196,17939349000277	913958,983135	2145550	2	2	2145550
04526954000193,66342833000149	786601	2139140	2	1	2139140
10588186000103,97468250000192	737282,773916	2129042	2	2	2129042
01133225000189,11203475000100	730567,770419,770574	2127604	2	3	2127604
02136051000170,20277752000101	765011,927841	2120475	2	2	2120475
01107391000100,72563158000180	774074	2098849	2	1	2098849
01568455000170,01568455000332	901076	2092891	2	1	2092891
13045652000194,23038796000177	789136	2070600	2	1	2070600
17192048000141,17192048000222	841004,921711	2006179	2	2	2006179
21804120000111#0,21804120000383#0,21804120000545#0	962013#0	1993320	3	1	664440
07815266000131,26321174000140	764507,764545,764546,764558,764564,764649,764659,910827,910837,910915,910930,910934	1990094	2	12	1990094
03378970000113,16505190000210	985568,985621	1987600	2	2	1987600
01133225000189#0,08488365000119#0,21661111000119#0	809439#0	1973333	3	1	657777
31673254000102,31673254000790	806308,952113,952268	1954606	2	3	1954606
03002290000109,15145442000101	853064	1924699	2	1	1924699
08488365000119,12932842000160	754722,754773	1921304	2	2	1921304
18871475000119,18871475000208	846327	1907300	2	1	1907300
02143367000190,09367180000119	830636,830852	1864728	2	2	1864728
17855375000136,25772120000138	739109,749438,784678,831731,866167,883272,969598	1805100	2	7	1805100
18029074000116,18029074000388	717716,717767	1776720	2	2	1776720
02603418000208,16915048000160	812909	1771730	2	1	1771730
04406461000110,08731530000111	875508,875596,875698,875787	1763987	2	4	1763987
08162032000103,08162032002068	947191,948255	1699638	2	2	1699638
07789153000109,22104604000110	955053	1689788	2	1	1689788
00388550000120,42785345000148	897460,985703	1669437	2	2	1669437
14246369000193,65284291000132	812701,812729,812761	1665950	2	3	1665950
00419760000138,17321137000140	854630	1589540	2	1	1589540
02496576000117,04542941000108	969022,969038	1584500	2	2	1584500
09355359000156,11025894000190	894564,894586	1552360	2	2	1552360
01133225000189#0,10600312000190#2,25646514000220#2	730567#2,966051#2	1539572	3	2	1154679
02389373000121,04919875000142	877000,877400,915307	1520102	2	3	1520102
44734671000151,44734671000402	901983,952763	1508558	2	2	1508558
20794996000161,23961832000170	833916	1504300	2	1	1504300
10197494000108,10899734000108	770407,770747,860497	1492591	2	3	1492591
15626947000180,22951216000175	843127	1488480	2	1	1488480
03728881000150,21581459000104	742185,742218	1483242	2	2	1483242
00385408000129,00390702000129	741450	1480545	2	1	1480545
08888040000123,08888040000980	851233,873660	1468523	2	2	1468523
01509731000120,07833214000198	776342,809665	1455403	2	2	1455403
18679316000117,18679316000206	768304,768338,801278	1430204	2	3	1430204
17610403000155,17610403000236	959511	1424256	2	1	1424256
05260938000164,18160622000142	743928,743954	1368412	2	2	1368412
01133225000189#0,11203475000100#1,25646514000220#1	730567#2	1338293	3	1	1003720
01133225000189#0,21013054000161#1,25646514000220#1	730567#2	1338293	3	1	1003720
02060549000105,26921908000202	817805	1335031	2	1	1335031
00809306000193,41718685000193	856661	1321600	2	1	1321600
05820332000136,19329504000188	776129,804146,963403	1306723	2	3	1306723
07521133000152,17881480000140	854529	1287940	2	1	1287940
00309119000140,00863032000110	892124,892276	1284509	2	2	1284509
09283969000191,11917516000111	759812	1246500	2	1	1246500
02679549000180,22210991000170	960875	1238840	2	1	1238840
03080995000136#1,04600294000143#1,23953466000107#0	754773#2	1227658	3	1	920744
03080995000136#1,04851699000154#1,23953466000107#0	754773#2	1227658	3	1	920744
03080995000136#1,22719843000185#1,23953466000107#0	754773#2	1227658	3	1	920744
01168626000174,19589495000164	811824	1222080	2	1	1222080
02234943000295,02234943001429	914244	1212730	2	1	1212730
00388550000120,14150662000152	889682,985703	1197956	2	2	1197956
17327107000141,17327107000222	917335	1197870	2	1	1197870
05423963000111,33000118000179	973094	1188921	2	1	1188921
19525278000372#0,23647365000108#0,47003579000100#0	796791#0,797013#0	1182452	3	2	394150
13074749000125,41902610000168	880281	1182300	2	1	1182300
02603418000208,05452133000112	841575	1176900	2	1	1176900
11196295000130,11857762000125	848671,848712,913436	1172212	2	3	1172212
07470828000152,22199772000137	726781,726829	1169670	2	2	1169670
03821415000114,65104762000183	737167,737202,972491,981046	1159513	2	4	1159513
48015119000164,55979736000145	766124,842345,958508	1126252	2	3	1126252
